i,w,j1,j2,factor_e,exact_e_0,factor_c,calc_e_0,rad
61,61,0.8746197071393957,0.4848096202463371,1.550500460902065,-18.454772630882747,2.0473922902494333,-18.308100138700908,0.3388888888888889
62,62,0.8829475928589269,0.4694715627858908,1.7577244434930266,-18.576888744246297,2.0994104308390025,-18.48811496289436,0.3444444444444444
63,63,0.8910065241883678,0.4539904997395468,1.796922032174487,-18.718212559456667,2.303446712018141,-18.66858902486749,0.35
64,64,0.898794046299167,0.4383711467890774,2.3428839651580318,-18.88777566626916,2.4029478458049884,-18.856367592447945,0.3555555555555555
65,65,0.90630778703665,0.4226182617406994,2.598841568936634,-19.095450342170626,2.6259410430839005,-19.059551011786333,0.3611111111111111
66,66,0.9135454576426008,0.4067366430758002,2.8130704674640743,-19.325432919685976,2.817233560090703,-19.2744339048654,0.3666666666666666
67,67,0.9205048534524404,0.3907311284892737,2.986338586765867,-19.571036523537845,3.001269841269841,-19.54698945344605,0.3722222222222222
68,68,0.9271838545667874,0.3746065934159119,3.125955874539782,-19.826916967752105,3.1695238095238096,-19.81485999458939,0.3777777777777777
69,69,0.9335804264972016,0.3583679495453004,3.2398795411841954,-20.089142253482372,3.2134693877551017,-20.078771428791107,0.3833333333333333
70,70,0.9396926207859084,0.3420201433256688,3.334641351336636,-20.35489484764645,3.2970068027210884,-20.346806503572463,0.3888888888888889
71,71,0.9455185755993168,0.3255681544571567,3.4151022615085034,-20.622149293573557,3.4367346938775505,-20.615739406628244,0.3944444444444444
72,72,0.9510565162951536,0.3090169943749474,3.4847599150280937,-20.889423351201096,3.455056689342403,-20.884226484552645,0.4
73,73,0.9563047559630354,0.2923717047227367,3.546117092791807,-21.15560574665011,3.5500226757369613,-21.151457557069172,0.4055555555555555
74,74,0.9612616959383188,0.2756373558169991,3.6009784101667077,-21.41984126756446,3.6455782312925167,-21.41670907997578,0.4111111111111111
75,75,0.9659258262890684,0.2588190451025207,3.6506630769664703,-21.68145460252829,3.6379138321995454,-21.678870470766547,0.4166666666666667
76,76,0.9702957262759964,0.2419218955996676,3.696151316676514,-21.939899467868937,3.6908390022675737,-21.93742000994364,0.4222222222222222
77,77,0.9743700647852352,0.2249510543438649,3.7381839934206695,-22.194724132898408,3.6912925170068025,-22.19216569829164,0.4277777777777777
78,78,0.9781476007338056,0.2079116908177594,3.777330565614989,-22.44554764999145,3.8293424036281176,-22.44221710585072,0.4333333333333333
79,79,0.981627183447664,0.1908089953765449,3.8140358631774287,-22.692043163514946,3.7975510204081626,-22.690295289746302,0.4388888888888889
80,80,0.984807753012208,0.1736481776669304,3.848652690943034,-22.93392597437927,3.828616780045351,-22.93184148620323,0.4444444444444444
81,81,0.9876883405951378,0.1564344650402309,3.881464871087515,-23.17094485394988,3.947437641723356,-23.16952985852556,0.45
82,82,0.9902680687415704,0.1391731009600654,3.912703763732405,-23.402875616370668,3.861678004535148,-23.399948652239527,0.4555555555555555
83,83,0.992546151641322,0.1218693434051474,3.942560281660619,-23.62951628700556,3.865895691609978,-23.62712113449987,0.4611111111111111
84,84,0.9945218953682732,0.1045284632676534,3.971193749962058,-23.85068341720337,3.9764172335600905,-23.84815973808154,0.4666666666666667
85,85,0.9961946980917455,0.0871557427476581,3.998738526532272,-24.066209235033494,4.003945578231292,-24.06103009219734,0.4722222222222222
86,86,0.9975640502598242,0.0697564737441252,4.025309012327458,-24.27593941454353,4.011428571428572,-24.270368689606627,0.4777777777777778
87,87,0.9986295347545738,0.0523359562429439,4.051003488751351,-24.479731308926905,4.029705215419501,-24.47655455884197,0.4833333333333333
88,88,0.9993908270190958,0.034899496702501,4.0759070902180055,-24.67745253611164,4.062539682539682,-24.672333246297438,0.4888888888888889
89,89,0.9998476951563912,0.0174524064372836,4.100094131535383,-24.86897983530198,4.162086167800453,-24.86376513916924,0.4944444444444444
90,90,1.0,6.123233995736766e-17,4.123629948596195,-25.054198134188148,4.115691609977324,-25.04826806917207,0.5
91,91,0.9998476951563912,-0.0174524064372834,4.146572368046096,-25.23299978167896,4.208163265306123,-25.22796110916758,0.5055555555555555
92,92,0.9993908270190958,-0.0348994967025009,4.168972891275089,-25.40528391196905,4.112244897959184,-25.39657966122664,0.5111111111111111
93,93,0.9986295347545738,-0.0523359562429438,4.190877656362523,-25.57095591377404,4.130249433106576,-25.563898327173728,0.5166666666666667
94,94,0.9975640502598242,-0.0697564737441253,4.212328225887575,-25.72992698450536,4.208390022675737,-25.7231154776068,0.5222222222222223
95,95,0.9961946980917455,-0.0871557427476582,4.233362237023195,-25.88211375360031,4.198049886621315,-25.87517965943322,0.5277777777777778
96,96,0.9945218953682732,-0.1045284632676535,4.254013941843526,-26.02743796257837,4.248208616780045,-26.0208302578805,0.5333333333333333
97,97,0.992546151641322,-0.1218693434051473,4.274314659448864,-26.165826191959358,4.266439909297052,-26.16013622834164,0.5388888888888889
98,98,0.9902680687415704,-0.1391731009600653,4.294293156754476,-26.2972096271479,4.276235827664399,-26.28621483213965,0.5444444444444444
99,99,0.9876883405951378,-0.1564344650402308,4.3139759711817245,-26.42152385692153,4.32843537414966,-26.413518195992488,0.55
100,100,0.984807753012208,-0.1736481776669303,4.3333876857304325,-26.5387086993572,4.337324263038548,-26.52986308962802,0.5555555555555556
101,101,0.981627183447664,-0.1908089953765448,4.352551164786678,-26.648708050978374,4.3448979591836725,-26.642040888298943,0.5611111111111111
102,102,0.9781476007338056,-0.2079116908177593,4.3714877573687,-26.751469755654348,4.331065759637188,-26.746034645421787,0.5666666666666667
103,103,0.9743700647852352,-0.224951054343865,4.39021747322494,-26.846945490386062,4.397097505668935,-26.837678503683637,0.5722222222222222
104,104,0.9702957262759964,-0.2419218955996677,4.408759136181964,-26.935090665599724,4.469024943310657,-26.924796694435777,0.5777777777777777
105,105,0.9659258262890684,-0.2588190451025208,4.427130518336103,-27.015864337959727,4.429342403628118,-27.00591479099653,0.5833333333333334
106,106,0.9612616959383188,-0.275637355816999,4.445348458041446,-27.089229134036245,4.408299319727891,-27.08156297843802,0.5888888888888889
107,107,0.9563047559630355,-0.2923717047227366,4.463428964132581,-27.15515118342657,4.519591836734693,-27.144791800022848,0.5944444444444444
108,108,0.9510565162951536,-0.3090169943749473,4.481387308406098,-27.21360006014828,4.4794104308390015,-27.205057909878175,0.6
